Lesson ID,CEFR Level,Major Domain,Scenario,English Lesson Title,Vietnamese Lesson Title,Primary Communication Goal,EN Word Target,Actual Bilingual A4 Page Target,Main Character,Secondary Character Rule,Status
0083,A0 / Pre-A1,Transport,a change or choice involving taxi & ride services,Recognising and responding to a change or choice involving taxi & ride services,Giao tiếp nền tảng: taxi & ride services — a change or choice involving taxi & ride services,recognise and respond to a change or choice involving taxi & ride services; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0084,A0 / Pre-A1,Mobility,a change or choice involving walking & getting around,Recognising and responding to a change or choice involving walking & getting around,Giao tiếp nền tảng: walking & getting around — a change or choice involving walking & getting around,recognise and respond to a change or choice involving walking & getting around; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0085,A0 / Pre-A1,Weather,a change or choice involving weather & daily plans,Recognising and responding to a change or choice involving weather & daily plans,Giao tiếp nền tảng: weather & daily plans — a change or choice involving weather & daily plans,recognise and respond to a change or choice involving weather & daily plans; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0086,A0 / Pre-A1,Daily Life,a change or choice involving daily routines,Recognising and responding to a change or choice involving daily routines,Giao tiếp nền tảng: daily routines — a change or choice involving daily routines,recognise and respond to a change or choice involving daily routines; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0087,A0 / Pre-A1,Learning,a change or choice involving school & learning,Recognising and responding to a change or choice involving school & learning,Giao tiếp nền tảng: school & learning — a change or choice involving school & learning,recognise and respond to a change or choice involving school & learning; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0088,A0 / Pre-A1,Work,a change or choice involving workplace everyday communication,Recognising and responding to a change or choice involving workplace everyday communication,Giao tiếp nền tảng: workplace everyday communication — a change or choice involving workplace everyday communication,recognise and respond to a change or choice involving workplace everyday communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
0089,A0 / Pre-A1,Communication,a change or choice involving phone calls,Recognising and responding to a change or choice involving phone calls,Giao tiếp nền tảng: phone calls — a change or choice involving phone calls,recognise and respond to a change or choice involving phone calls; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Daniel (or another context-appropriate named Mr/Ms character),PLANNED
0090,A0 / Pre-A1,Communication,a change or choice involving messages & everyday digital communication,Recognising and responding to a change or choice involving messages & everyday digital communication,Giao tiếp nền tảng: messages & everyday digital communication — a change or choice involving messages & everyday digital communication,recognise and respond to a change or choice involving messages & everyday digital communication; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Olivia (or another context-appropriate named Mr/Ms character),PLANNED
0091,A0 / Pre-A1,Personal Identity,your phone number,Recognising and responding to your phone number,Giao tiếp nền tảng: personal identity & introductions — your phone number,recognise and respond to your phone number; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Thomas (or another context-appropriate named Mr/Ms character),PLANNED
0092,A0 / Pre-A1,Social Basics,getting someone's attention politely,Recognising and responding to getting someone's attention politely,Giao tiếp nền tảng: greetings & basic social contact — getting someone's attention politely,recognise and respond to getting someone's attention politely; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sophie (or another context-appropriate named Mr/Ms character),PLANNED
0093,A0 / Pre-A1,Numbers and Time,the current time,Recognising and responding to the current time,"Giao tiếp nền tảng: numbers, dates & time — the current time",recognise and respond to the current time; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Michael (or another context-appropriate named Mr/Ms character),PLANNED
0094,A0 / Pre-A1,Home,a simple household instruction,Recognising and responding to a simple household instruction,Giao tiếp nền tảng: home & household — a simple household instruction,recognise and respond to a simple household instruction; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Grace (or another context-appropriate named Mr/Ms character),PLANNED
0095,A0 / Pre-A1,Family,a simple family plan,Recognising and responding to a simple family plan,Giao tiếp nền tảng: family & relationships — a simple family plan,recognise and respond to a simple family plan; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr Henry (or another context-appropriate named Mr/Ms character),PLANNED
0096,A0 / Pre-A1,Food,a basic meal choice,Recognising and responding to a basic meal choice,Giao tiếp nền tảng: food & drink — a basic meal choice,recognise and respond to a basic meal choice; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Anna (or another context-appropriate named Mr/Ms character),PLANNED
0097,A0 / Pre-A1,Shopping,a misunderstanding or problem involving shopping & payments,Recognising and responding to a misunderstanding or problem involving shopping & payments,Giao tiếp nền tảng: shopping & payments — a misunderstanding or problem involving shopping & payments,recognise and respond to a misunderstanding or problem involving shopping & payments; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr David (or another context-appropriate named Mr/Ms character),PLANNED
0098,A0 / Pre-A1,Clothing,a misunderstanding or problem involving clothing & personal items,Recognising and responding to a misunderstanding or problem involving clothing & personal items,Giao tiếp nền tảng: clothing & personal items — a misunderstanding or problem involving clothing & personal items,recognise and respond to a misunderstanding or problem involving clothing & personal items; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Emma (or another context-appropriate named Mr/Ms character),PLANNED
0099,A0 / Pre-A1,Neighbourhood,a misunderstanding or problem involving neighbourhood & directions,Recognising and responding to a misunderstanding or problem involving neighbourhood & directions,Giao tiếp nền tảng: neighbourhood & directions — a misunderstanding or problem involving neighbourhood & directions,recognise and respond to a misunderstanding or problem involving neighbourhood & directions; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Mr James (or another context-appropriate named Mr/Ms character),PLANNED
0100,A0 / Pre-A1,Transport,a misunderstanding or problem involving public transport,Recognising and responding to a misunderstanding or problem involving public transport,Giao tiếp nền tảng: public transport — a misunderstanding or problem involving public transport,recognise and respond to a misunderstanding or problem involving public transport; complete the exchange naturally at A0 / Pre-A1.,180–260,2–3,Ms Lan,Ms Sarah (or another context-appropriate named Mr/Ms character),PLANNED
